schoolId,daslSchoolId,schoolName,city,stateCode,colaIndex
001f400000EnXuz,20245,Admiral Farragut Academy,Saint Petersburg,FL,1.1273
001f400000EnXx6,0859,Annie Wright Schools,Tacoma,WA,1.1568
,0781,Appleby College,Oakville,ON,
,0025,Applewild School,Fitchburg,MA,1.2346
,168731,Archbishop Riordan High School,San Francisco,CA,2.0138
,0794,Ashbury College,Ottawa,ON,
,0031,"Asheville School, Inc.",Asheville,NC,0.9864
,2812104,Asia Pacific International School,Hauula,HI,1.5529
,0796,Balmoral Hall - School for Girls,Winnipeg,MB,
,174896,Bard Academy,Great Barrington,MA,1.2303
,0057,Berkshire School,Sheffield,MA,1.2302
,0294,Besant Hill School,Ojai,CA,1.3549
,0063,Blair Academy,Blairstown,NJ,1.1494
,0900,Branksome Hall,Toronto,ON,
,37148,Brentwood College School,Mill Bay,BC,
,0083,Brooks School,North Andover,MA,1.2987
,0095,Buffalo Seminary,Buffalo,NY,1.0654
,69866,Buxton School,Williamstown,MA,1.2303
,163324,Canadian Academy,Kobe,,
,0104,Canterbury School,New Milford,CT,1.252
,0109,Cardigan Mountain School,Canaan,NH,1.2409
,0118,Cate School,Carpinteria,CA,1.3489
,0133,Chatham Hall,Chatham,VA,0.9533
,0134,Cheshire Academy,Cheshire,CT,1.2319
,0137,Choate Rosemary Hall,Wallingford,CT,1.2319
,0141,Christ School,Arden,NC,0.9864
,0140,Christchurch School,Christchurch,VA,1.0581
,0153,Colorado Rocky Mountain School,Carbondale,CO,1.1339
,0161,Concord Academy,Concord,MA,1.3986
,77846,Cotter High School,Winona,MN,1.0128
,0170,Cranbrook Schools,Bloomfield Hills,MI,1.0632
,0172,Culver Academies,Culver,IN,0.9448
,0174,Cushing Academy,Ashburnham,MA,1.2346
,0176,Dana Hall School,Wellesley,MA,1.3932
,0177,Darlington School,Rome,GA,0.9182
,0182,Deerfield Academy,Deerfield,MA,1.239
,29807,Delphian School,Sheridan,OR,1.1863
,0191,Dublin School,Dublin,NH,1.1947
,0192,Dunn School,Los Olivos,CA,1.3489
,0202,Emma Willard School,Troy,NY,1.066
,0206,Episcopal High School,Alexandria,VA,1.3994
,0215,Fay School,Southborough,MA,1.2346
,52866,Fishburne Military School,Waynesboro,VA,
,0225,Fork Union Military Academy,Fork Union,VA,1.0359
,0231,Fountain Valley School of Colorado,Colorado Springs,CO,1.0582
,36835,Foxcroft Academy,Dover Foxcroft,ME,1.1465
,0233,Foxcroft School,Middleburg,VA,1.1313
,0247,Garrison Forest School,Owings Mills,MD,1.2813
,0248,George School,Newtown,PA,1.1279
,0992,Georgetown Preparatory School,North Bethesda,MD,1.4215
,0264,Gould Academy,Bethel,ME,1.1304
,0269,Grand River Academy,Austinburg,OH,0.8841
,0279,Grier School,Tyrone,PA,0.9866
,0281,Groton School,Groton,MA,1.3986
