varId,subCategoryId,applies_to_tabs,category,subcategory,section,question,label,dataType,lookupGroupId,associationSpecific
2346,1,True,School,School Characteristics,School Characteristics,"School gender (boys, girls, coed)","School -> School Characteristics -> School Characteristics -> School gender (boys, girls, coed)",choiceSingle,3,False
3425,1,True,School,School Characteristics,School Characteristics,Does your school offer a Day program?,School -> School Characteristics -> School Characteristics -> Does your school offer a Day program?,choiceSingle,1,False
3426,1,True,School,School Characteristics,School Characteristics,Does your school offer a Boarding program?,School -> School Characteristics -> School Characteristics -> Does your school offer a Boarding program?,choiceSingle,1,False
3427,1,True,School,School Characteristics,School Characteristics,Does your school offer a 5 Day Boarding program?,School -> School Characteristics -> School Characteristics -> Does your school offer a 5 Day Boarding program?,choiceSingle,1,False
3428,1,True,School,School Characteristics,School Characteristics,Does your school offer a 7 Day Boarding program?,School -> School Characteristics -> School Characteristics -> Does your school offer a 7 Day Boarding program?,choiceSingle,1,False
15404,1,True,School,School Characteristics,School Characteristics,Does your school offer a Homestay program?,School -> School Characteristics -> School Characteristics -> Does your school offer a Homestay program?,choiceSingle,1,False
15405,1,True,School,School Characteristics,School Characteristics,Does your school offer an Online program?,School -> School Characteristics -> School Characteristics -> Does your school offer an Online program?,choiceSingle,1,False
15411,1,True,School,School Characteristics,School Characteristics,Does your school charge tuition?,School -> School Characteristics -> School Characteristics -> Does your school charge tuition?,choiceSingle,1,False
2066,1,True,School,School Characteristics,School Characteristics,Is your school primarily a School for Students with Learning Differences?,School -> School Characteristics -> School Characteristics -> Is your school primarily a School for Students with Learning Differences?,choiceSingle,1,False
14291,1,True,School,School Characteristics,School Characteristics,School located outside United States,School -> School Characteristics -> School Characteristics -> School located outside United States,choiceSingle,1,False
3429,1,True,School,School Characteristics,School Characteristics,Does your school have International Students?,School -> School Characteristics -> School Characteristics -> Does your school have International Students?,choiceSingle,1,False
3430,1,True,School,School Characteristics,School Characteristics,Does your school have students with an F-1 visa?,School -> School Characteristics -> School Characteristics -> Does your school have students with an F-1 visa?,choiceSingle,1,False
3431,1,True,School,School Characteristics,School Characteristics,Does your school have students with a J-1 visa?,School -> School Characteristics -> School Characteristics -> Does your school have students with a J-1 visa?,choiceSingle,1,False
3432,1,True,School,School Characteristics,School Characteristics,Does your school have students with a visa other than F-1 or J-1?,School -> School Characteristics -> School Characteristics -> Does your school have students with a visa other than F-1 or J-1?,choiceSingle,1,False
2347,1,True,School,School Characteristics,School Characteristics,"School type (day, boarding, etc.)","School -> School Characteristics -> School Characteristics -> School type (day, boarding, etc.)",choiceSingle,8,False
1849,1,True,School,School Characteristics,School Characteristics,Lowest grade at school,School -> School Characteristics -> School Characteristics -> Lowest grade at school,choiceSingle,7,False
1793,1,True,School,School Characteristics,School Characteristics,Highest grade at school,School -> School Characteristics -> School Characteristics -> Highest grade at school,choiceSingle,7,False
13801,1,True,School,School Characteristics,School Characteristics,Does your school offer Pre-First grade?,School -> School Characteristics -> School Characteristics -> Does your school offer Pre-First grade? ,choiceSingle,1,False
2214,1,True,School,School Characteristics,School Characteristics,Ungraded School,School -> School Characteristics -> School Characteristics -> Ungraded School,choiceSingle,1,False
15407,1,True,School,School Characteristics,School Characteristics,Ungraded School Youngest Student,School -> School Characteristics -> School Characteristics -> Ungraded School Youngest Student,choiceSingle,110,False
15408,1,True,School,School Characteristics,School Characteristics,Ungraded School Oldest Student,School -> School Characteristics -> School Characteristics -> Ungraded School Oldest Student,choiceSingle,110,False
3433,,False,School,School Characteristics,School Characteristics,What type of School for Students with Learning Differences is your school?,School -> School Characteristics -> School Characteristics -> What type of School for Students with Learning Differences is your school?,choiceMulti,44,False
3150,1,True,School,School Characteristics,School Characteristics,Does School Have a Religious Affiliation?,School -> School Characteristics -> School Characteristics -> Does School Have a Religious Affiliation?,choiceSingle,1,False
3151,1,True,School,School Characteristics,School Characteristics,School Religious Affiliation,School -> School Characteristics -> School Characteristics -> School Religious Affiliation,choiceSingle,12,False
15409,1,True,School,School Characteristics,School Characteristics,School Governance Model,School -> School Characteristics -> School Characteristics -> School Governance Model,choiceSingle,111,False
3373,1,True,School,School Characteristics,School Characteristics,Date school was founded,School -> School Characteristics -> School Characteristics -> Date school was founded,integer,,False
15410,1,True,School,School Characteristics,School Characteristics,Accreditation(s),School -> School Characteristics -> School Characteristics -> Accreditation(s),choiceMulti,112,False
2357,,False,School,School Facilities,School Facilities,Building Ownership,School -> School Facilities -> School Facilities -> Building Ownership,choiceSingle,1,False
2356,,False,School,School Facilities,School Facilities,Total Building and Property Value,School -> School Facilities -> School Facilities -> Total Building and Property Value,currency,,False
2067,,False,School,School Facilities,School Facilities,Square footage for building space,School -> School Facilities -> School Facilities -> Square footage for building space,integer,,False
1381,,False,School,School Facilities,School Facilities,Total computers for student use,School -> School Facilities -> School Facilities -> Total computers for student use,integer,,False
3434,,False,School,School Facilities,School Facilities,Number of employee residences on campus,School -> School Facilities -> School Facilities -> Number of employee residences on campus,integer,,False
3435,,False,School,School Facilities,School Facilities,Total number of acres?,School -> School Facilities -> School Facilities -> Total number of acres?,float,,False
11401,,False,School,School Facilities,School Facilities,Do you have a 1:1 program at your school in which every student has a dedicated device?,School -> School Facilities -> School Facilities -> Do you have a 1:1 program at your school in which every student has a dedicated device?,choiceSingle,1,False
11402,,False,School,School Facilities,School Facilities,"Grades where you have a 1:1 program in which every student has a dedicated device, whether provided by the school or a required family purchase","School -> School Facilities -> School Facilities -> Grades where you have a 1:1 program in which every student has a dedicated device, whether provided by the school or a required family purchase",choiceMulti,7,False
4504,2,True,Students,Enrollment on Opening Day,Enrollment Goals,School has a goal of percentage of international students,Students -> Enrollment on Opening Day -> Enrollment Goals -> School has a goal of percentage of international students,choiceSingle,1,False
11588,2,True,Students,Enrollment on Opening Day,Enrollment Goals,% goal of international students,Students -> Enrollment on Opening Day -> Enrollment Goals -> % goal of international students,integer,,False
1528,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Preschool: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Preschool: Total,integer,,False
3468,,False,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten (Part-time): Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten (Part-time): Total,integer,,False
14305,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Kindergarten: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Kindergarten: Day,integer,,False
